Columna,Valor normalizado,Valor oficial
Categoría,artes marciales/taekwondo,Artes marciales / Taekwondo
Categoría,bazar/regalería,Bazar / Regalería
Categoría,gimnasio/crossfit,Gimnasio / Crossfit
Categoría,estudio jurídico,Estudio jurídico
Categoría,corralón/materiales,Corralón / Materiales
Categoría,contador público,Contador público
Categoría,joyería/relojería,Joyería / Relojería
Categoría,kinesiología/rehabilitación,Kinesiología / Rehabilitación
Categoría,librería/regalería,Librería / Regalería
Categoría,taller mecánico,Taller mecánico
Categoría,vidriería,Vidriería
Categoría,aberturas/carpintería de aluminio,Aberturas / Carpintería de aluminio
Categoría,adiestramiento canino,Adiestramiento canino
Categoría,agencia de turismo,Agencia de turismo
Categoría,agencia de viajes,Agencia de viajes
Categoría,agencia de viajes/turismo,Agencia de viajes / Turismo
Categoría,agroveterinaria,Agroveterinaria
Categoría,agua/bombas,Agua / Bombas
Categoría,aire acondicionado,Aire Acondicionado
Categoría,aire acondicionado (service),Aire Acondicionado (Service)
Categoría,aire acondicionado/refrigeración,Aire Acondicionado / Refrigeración
Categoría,alarmas/seguridad,Alarmas / Seguridad
Categoría,alergología/inmunología,Alergología / Inmunología
Categoría,alimentos balanceados,Alimentos balanceados
Categoría,almacén,Almacén
Categoría,almacén de barrio,Almacén de barrio
Categoría,óptica/oftalmología,Óptica / Oftalmología
Categoría,almacén y rotisería de barrio,Almacén y Rotisería de Barrio
Categoría,almacén/autoservicio,Almacén / Autoservicio
Categoría,almacén/verdulería,Almacén / Verdulería
Categoría,alojamiento,Alojamiento
Categoría,alojamiento (apart hotel),Alojamiento (apart hotel)
Categoría,alojamiento (apart),Alojamiento (apart)
Categoría,alojamiento (departamentos),Alojamiento (departamentos)
Categoría,alojamiento genérico,Alojamiento Genérico
Categoría,alojamiento/bungalows,Alojamiento / Bungalows
Categoría,alojamiento/cabañas,Alojamiento / Cabañas
Categoría,alquiler de autos,Alquiler de autos
Categoría,ambulancias,Ambulancias
Categoría,apart hotel,Apart Hotel
Categoría,arquitectura,Arquitectura
Categoría,arquitectura/ingeniería,Arquitectura / Ingeniería
Categoría,arroyo,Arroyo
Categoría,artes marciales,Artes marciales
Categoría,artes marciales/boxeo,Artes marciales / Boxeo
Categoría,artes marciales/gimnasio,Artes marciales / Gimnasio
Categoría,artes marciales/jiu jitsu,Artes marciales / Jiu Jitsu
Categoría,artes marciales/kickboxing,Artes marciales / Kickboxing
Categoría,artes marciales/yoga/tai chi,Artes marciales / Yoga / Tai Chi
Categoría,asociación civil,Asociación civil
Categoría,asociación deportiva,Asociación deportiva
Categoría,asociación/colegio profesional,Asociación / Colegio Profesional
Categoría,audio para autos,Audio para autos
Categoría,audio/alarmas/baterías,Audio / Alarmas / Baterías
Categoría,auditorio/centro cultural,Auditorio / Centro cultural
Categoría,autoservicio,Autoservicio
Categoría,autoservicio/maxikiosco 24hs,Autoservicio / Maxikiosco 24hs
Categoría,autoservicio/supermercado,Autoservicio / Supermercado
Categoría,auxilio mecánico/grúa,Auxilio mecánico / Grúa
Categoría,auxilio mecánico/taller,Auxilio mecánico / Taller
Categoría,banco/cajero,Banco / Cajero
Categoría,bar,Bar
Categoría,bar and grill,Bar and Grill
Categoría,bar rooftop,Bar Rooftop
Categoría,bar/cervecería artesanal,Bar / Cervecería artesanal
Categoría,bar/hamburguesería,Bar / Hamburguesería
Categoría,bar/pizzería,Bar / Pizzería
Categoría,bar/pub,Bar / Pub
Categoría,bar/restaurante,Bar / Restaurante
Categoría,bar/salón de eventos,Bar / Salón de Eventos
Categoría,barbería,Barbería
Categoría,barrio privado,Barrio Privado
Categoría,baterías,Baterías
Categoría,baterías/electricidad automotor,Baterías / Electricidad automotor
Categoría,bazar,Bazar
Categoría,bazar y regalería,Bazar y regalería
