Valor normalizado,Cantidad de lugares,Variantes encontradas,Cantidad de variantes distintas
estudio jurídico,9,Estudio Jurídico | Estudio jurídico,2
contador público,3,Contador público | Contador Público,2
taller mecánico,26,Taller Mecánico | Taller mecánico,2
abogado,20,Abogado,1
academia de idiomas,1,Academia de idiomas,1
acceso ribereño,1,Acceso ribereño,1
adiestramiento canino,1,Adiestramiento canino,1
agencia de turismo,1,Agencia de turismo,1
agencia de viajes,13,Agencia de viajes,1
agencia de viajes / turismo,1,Agencia de viajes / Turismo,1
agroveterinaria,1,Agroveterinaria,1
agua/bombas,1,Agua/Bombas,1
aire acondicionado,1,Aire Acondicionado,1
aire acondicionado (service),1,Aire Acondicionado (Service),1
transporte de cargas / encomiendas,1,Transporte de cargas / Encomiendas,1
alojamiento/bungalows,1,Alojamiento/Bungalows,1
aberturas,5,Aberturas,1
alarmas / seguridad,1,Alarmas / Seguridad,1
alergología / inmunología,1,Alergología / Inmunología,1
alimentos balanceados,1,Alimentos balanceados,1
almacén,1,Almacén,1
almacén / autoservicio,2,Almacén / Autoservicio,1
almacén / verdulería,1,Almacén / Verdulería,1
almacén de barrio,2,Almacén de barrio,1
almacén gourmet / panadería,1,Almacén gourmet / Panadería,1
almacén y rotisería de barrio,1,Almacén y Rotisería de Barrio,1
alojamiento,2,Alojamiento,1
alojamiento (apart hotel),1,Alojamiento (apart hotel),1
alojamiento (apart),2,Alojamiento (apart),1
alojamiento (departamentos),2,Alojamiento (departamentos),1
alojamiento genérico,2,Alojamiento Genérico,1
vidriería,4,Vidriería,1
alojamiento/cabañas,1,Alojamiento/Cabañas,1
alquiler de autos,1,Alquiler de autos,1
ambulancias,1,Ambulancias,1
apart hotel,2,Apart Hotel,1
arquitectura,1,Arquitectura,1
arquitectura / ingeniería,1,Arquitectura / Ingeniería,1
arroyo,3,Arroyo,1
artes marciales,1,Artes marciales,1
artes marciales / taekwondo,2,Artes marciales / Taekwondo,1
artes marciales/boxeo,1,Artes marciales/Boxeo,1
artes marciales/gimnasio,1,Artes marciales/Gimnasio,1
artes marciales/jiu jitsu,1,Artes marciales/Jiu Jitsu,1
artes marciales/kickboxing,1,Artes marciales/Kickboxing,1
artes marciales/taekwondo,2,Artes marciales/Taekwondo,1
artes marciales/yoga/tai chi,1,Artes marciales/Yoga/Tai Chi,1
asociación / colegio profesional,1,Asociación / Colegio Profesional,1
asociación civil,1,Asociación civil,1
