Nombre,Categoría,Grupo,Dirección,Teléfono,Latitud,Longitud,Rating,Cant. Reseñas,Descripción,Estado Verificación,Place ID,Fuente,Estado Auditoría (Lote),Confianza,Observaciones,Evidencia / Fuente,ID_URU
Abogado Nahuel Nuñez,Abogado,comercios,"Mariano Moreno 122, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 40-6677,-32.4863542,-58.2317326,,,,Verificado con diferencias (auditoría web - prensa local),ChIJFxha_HHbr5URgAm3VowBDL4,NUEVOSLUGARES5,🟡 Verificado con diferencias,Media,"INCONSISTENCIA DETECTADA: la existencia del abogado Nahuel Núñez y su estudio jurídico en Concepción del Uruguay está confirmada por una nota periodística (Vía Gualeguaychú, 2020) sobre un incidente ocurrido frente al estudio. Sin embargo, la nota ubica el estudio en la intersección de calles Malvar y Pinto esquina Rivadavia, no en ""Mariano Moreno 122"" como figura en la planilla. No se halló fuente que confirme la dirección de la planilla; podría tratarse de una mudanza posterior o de un domicilio adicional. Requiere confirmación manual de la dirección actual.",viapais.com.ar/gualeguaychu (nota del 15/11/2020) - no confirma dirección de la planilla,URU-00074
Abogado Nahuel Nuñez,Abogado,finanzas,"Mariano Moreno 122, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 40-6677,-32.49152,-58.23084,,,,Requiere confirmacion manual (auditoria web sin coincidencia suficiente),ChIJFxha_HHbr5URgAm3VowBDL4,lugaresmaapapspapr,Requiere confirmacion manual,Baja,"Busqueda web realizada para ""Abogado Nahuel Nunez"" en Concepcion del Uruguay; los directorios locales de profesionales no arrojaron una coincidencia especifica y verificable (nombre+direccion) para este registro puntual. No se marca como verificado para evitar asignar evidencia que no se encontro. Requiere confirmacion manual/telefonica.",(sin fuente especifica coincidente; se revisaron directorios generales de abogados/contadores de la ciudad),URU-00475
Cerrajería Boxer,Cerrajería,compras,"Alberdi 1777, E3260 Concepción del Uruguay, Entre Ríos, Argentina",,-32.48991,-58.29176,,,,,ChIJLVrcsbPbr5UR3KPwYXdL3Qo,lugaresmaapapspapr,,,,,URU-00577
Cerrajería Boxer,Cerrajería,oficios_tecnicos,"Alberdi 1777, E3260 Concepción del Uruguay, Entre Ríos, Argentina",,-32.4893283,-58.2510277,4.5,147.0,,,ChIJLVrcsbPbr5UR3KPwYXdL3Qo,NUEVOSLUGARES6,,,,,URU-01274
Cerrajería Cerrojo de Guillermo Waterloo,Cerrajería,compras,"San Martín 861, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 42-8229,-32.48597,-58.23469,,,,,ChIJmV3cXQDbr5URp5Iyk4Cyeak,lugaresmaapapspapr,,,,,URU-00576
Cerrajería Cerrojo de Guillermo Waterloo,Cerrajería,oficios_tecnicos,"San Martín 861, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 42-8229,-32.4859042,-58.2346843,4.7,106.0,,,ChIJmV3cXQDbr5URp5Iyk4Cyeak,NUEVOSLUGARES6,,,,,URU-01273
Cerrajería San Pedro,Cerrajería,compras,"8 de Junio 961, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 45-0246,-32.48325,-58.23696,,,,,ChIJ-zAcI6vbr5URV_tFnTBit8s,lugaresmaapapspapr,,,,,URU-00578
Cerrajería San Pedro,Cerrajería,oficios_tecnicos,"8 de Junio 961, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 45-0246,-32.483404,-58.2370481,4.5,75.0,,,ChIJ-zAcI6vbr5URV_tFnTBit8s,NUEVOSLUGARES6,,,,,URU-01275
Electro Aguirre SRL,Electricidad,comercios,"9 de Julio 1342, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 30-7509,-32.4864802,-58.2432468,,,,Verificado (auditoría web múltiples fuentes),ChIJoZINXQDbr5UR9C5VnwOg6WY,NUEVOSLUGARES5,✅ Verificado,Alta,"Confirmado por Waze, Facebook, sitio propio (electro-aguirre.com.ar), argentino.com.ar y laguia.online con misma dirección (9 de Julio 1342).",waze.com; facebook.com; electro-aguirre.com.ar; argentino.com.ar; laguia.online,URU-00064
Electro Aguirre SRL,Electricidad (comercio),compras,"9 de Julio 1342, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 30-7509,-32.48641,-58.24196,,,,,ChIJoZINXQDbr5UR9C5VnwOg6WY,lugaresmaapapspapr,,,,,URU-00508
Emporio Ferretero,Ferretería,comercios,"9 de Julio 1555, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 44-6397,-32.4874317,-58.2471598,,,,Verificado (auditoría web múltiples fuentes),ChIJmV3cXQDbr5UR9r4V-LgmlLg,NUEVOSLUGARES5,✅ Verificado,Alta,"Confirmado por múltiples directorios independientes (argentino.com.ar, Waze, portal-industrial, corralonpremium) con misma dirección y rubro.",argentino.com.ar; waze.com; portal-industrial.com.ar; corralonpremium.com.ar,URU-00009
Emporio Ferretero,Ferretería,compras,"9 de Julio 1555, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 42-2462,-32.48743,-58.24716,,,,Verificado (auditoría web múltiples fuentes),,lugaresmaapapspapr,✅ Verificado,Alta,"Confirmado extensamente por múltiples directorios y fuentes independientes (guiaurbana.com.ar, eldirectorio.co, portal-industrial.com.ar, licuo.com.ar, latinoplaces.com) coincidentes en dirección.",guiaurbana.com.ar; eldirectorio.co; ar.latinoplaces.com,URU-00318
Escribania Lacava,Escribanía,comercios,"Ereño 862, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 42-2249,-32.4885484,-58.2341085,,,,Verificado (auditoría web múltiples fuentes),ChIJ-7-3RADbr5URE2UH6X-21D0,NUEVOSLUGARES5,✅ Verificado,Media,Confirmado por directorio especializado de escribanos (aarg.ar) y directorio cruzado (megargbiz.com) con misma dirección exacta (Ereño 862).,escribanos.aarg.ar; megargbiz.com,URU-00087
