Nombre,Categoría,Grupo,Dirección,Teléfono,Latitud,Longitud,Rating,Cant. Reseñas,Descripción,Estado Verificación,Place ID,Fuente,Estado Auditoría (Lote),Confianza,Observaciones,Evidencia / Fuente,ID_URU
Cerrajería Boxer,Cerrajería,compras,"Alberdi 1777, E3260 Concepción del Uruguay, Entre Ríos, Argentina",,-32.48991,-58.29176,,,,,ChIJLVrcsbPbr5UR3KPwYXdL3Qo,lugaresmaapapspapr,,,,,URU-00577
Cerrajería Boxer,Cerrajería,oficios_tecnicos,"Alberdi 1777, E3260 Concepción del Uruguay, Entre Ríos, Argentina",,-32.4893283,-58.2510277,4.5,147.0,,,ChIJLVrcsbPbr5UR3KPwYXdL3Qo,NUEVOSLUGARES6,,,,,URU-01274
Cerrajería Cerrojo de Guillermo Waterloo,Cerrajería,compras,"San Martín 861, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 42-8229,-32.48597,-58.23469,,,,,ChIJmV3cXQDbr5URp5Iyk4Cyeak,lugaresmaapapspapr,,,,,URU-00576
Cerrajería Cerrojo de Guillermo Waterloo,Cerrajería,oficios_tecnicos,"San Martín 861, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 42-8229,-32.4859042,-58.2346843,4.7,106.0,,,ChIJmV3cXQDbr5URp5Iyk4Cyeak,NUEVOSLUGARES6,,,,,URU-01273
Cerrajería San Pedro,Cerrajería,compras,"8 de Junio 961, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 45-0246,-32.48325,-58.23696,,,,,ChIJ-zAcI6vbr5URV_tFnTBit8s,lugaresmaapapspapr,,,,,URU-00578
Cerrajería San Pedro,Cerrajería,oficios_tecnicos,"8 de Junio 961, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 45-0246,-32.483404,-58.2370481,4.5,75.0,,,ChIJ-zAcI6vbr5URV_tFnTBit8s,NUEVOSLUGARES6,,,,,URU-01275
Herrería Martín,Herrería,compras,"Dr. Scelzi 372, Concepción del Uruguay, Entre Ríos",+54 3442 55-2828,-32.48095,-58.24242,,,,VALIDADO_FINAL,ChIJhcY0dbHbr5UR3C6MJNGdNjE,lugaresmaapapspapr,,,,,URU-00931
Herrería Martín,Herrería,oficios_tecnicos,"Dr. Scelzi 372, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 55-2828,-32.4809507,-58.2424156,5.0,1.0,,,ChIJhcY0dbHbr5UR3C6MJNGdNjE,NUEVOSLUGARES6,,,,,URU-01276
Herrería y Metalúrgica Beck,Herrería / Metalúrgica,compras,"Ruta Nacional 14 / Blvd. los Constituyentes km 124.5, Concepción del Uruguay, Entre Ríos",+54 11 5021-5581,-32.48463,-58.24258,,,,VALIDADO_FINAL,ChIJgbP6_U3Zr5URea4yXfwu8ws,lugaresmaapapspapr,,,,,URU-00858
Herrería y Metalúrgica Beck,Herrería/Metalúrgica,oficios_tecnicos,"Blvd. los Constituyentes km 124.5 (Ruta Nac. 14), E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 11 5021-5581,-32.4846304,-58.2425745,4.6,16.0,,,ChIJgbP6_U3Zr5URea4yXfwu8ws,NUEVOSLUGARES6,,,,,URU-01280
La Sampedrina S.A.,Industria,compras,"Mz 4 Lote 15, Parque Industrial, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 64-3303,-32.48519,-58.23202,,,,Verificado (Google Places),ChIJW6c9j7Lbr5UR8xJi8y0RWAo,lugaresmaapapspapr,✅ Verificado,Media,"Coincidencia exacta de nombre, dirección y teléfono en Google Places. 4.5★ (4 reseñas).",Google Places (place_id: ChIJW6c9j7Lbr5UR8xJi8y0RWAo) - consultado 16/07/2026,URU-00572
La Sampedrina S.A.,Fábrica de Chapas Asfálticas/Impermeabilización,oficios_tecnicos,"Mz 4 Lote 15, Parque Industrial, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 64-3303,-32.4917424,-58.3052039,4.5,4.0,,,ChIJW6c9j7Lbr5UR8xJi8y0RWAo,NUEVOSLUGARES8,,,,,URU-01341
Termas Concepción de Entre Ríos,Termas,alojamiento,"Ruta Nacional 14, Km 129, Concepción del Uruguay, Entre Ríos, Argentina",,-32.45078,-58.29279,,,,Verificado (auditoría web múltiples fuentes),,lugaresmaapapspapr,✅ Verificado,Alta,"Confirmado extensamente: sitio oficial (termasconcepcion.com), Facebook oficial (39.049 seguidores), Tripadvisor (235 reseñas), turismoentrerios.com y aguastermalesargentina.ar, todos coincidentes en ubicación (a ~40 km de la ciudad, sobre Ruta 14).",termasconcepcion.com; facebook.com/termasconcepcion; tripadvisor.com.ar,URU-00356
Termas Concepción de Entre Ríos,Restaurante de Complejo Termal,gastronomia,"RN14 Km 129, Concepción del Uruguay, Entre Ríos",+54 3442 47-3805,-32.45078,-58.29279,4.4,9351.0,,VALIDADO_FINAL,ChIJHzInKujZr5URzP9k3aMes34,lugaresmaapapspapr,,,,,URU-01050
