Fila,Nombre,Tipo de problema,Latitud,Longitud
1065,Panza Verde Parador,FALTANTE,,
1066,Rotisería + Más Sabor - Viandas,FALTANTE,,
1067,Friendsn Productos Caseros,FALTANTE,,
1068,Kairós Indumentaria Argentina,FALTANTE,,
1069,Retacería Vani-Ver,FALTANTE,,
1070,Way - Indumentaria Deportiva y Colegial,FALTANTE,,
1071,Rock Tec Imprenta Textil,FALTANTE,,
1072,Trapos,FALTANTE,,
1073,Los Posadas,FALTANTE,,
1074,Penthouse República de Chile,FALTANTE,,
1075,Apartamento Plaza San Martín,FALTANTE,,
1076,Millennium Apart Hotel,FALTANTE,,
1077,The House - Bajada Grande,FALTANTE,,
1078,Semillerías y Veterinaria Agro Sur,FALTANTE,,
1079,La Usina Fitness,FALTANTE,,
1080,Entrenamiento Funcional Strong Training,FALTANTE,,
1081,Casa Nostra,FALTANTE,,
1082,Pizzería Bru-Va,FALTANTE,,
1083,Guay - Ari,FALTANTE,,
1084,Alojamiento Galarza,FALTANTE,,
1085,Galarza Hogar SA,FALTANTE,,
1086,Ardoy & Haddad Abogados,FALTANTE,,
1087,Guillermo Andrés Heis - Contador,FALTANTE,,
1088,Inmobiliaria Jusid,FALTANTE,,
1089,Inmobiliaria MS,FALTANTE,,
1090,Joyería París J. Akrich,FALTANTE,,
1091,Mr. Anderson Barber Team - Sede Posadas,FALTANTE,,
1092,Centro Médico Ciota,FALTANTE,,
1093,Luciano Javier Lucero - Kinesiología,FALTANTE,,
1094,Dietética Nutrisabor,FALTANTE,,
1095,Cantina Paso Corralito,FALTANTE,,
1096,Panadería Café,FALTANTE,,
1097,Panadería Maxim S,FALTANTE,,
1098,Eben Ezer Panadería,FALTANTE,,
1099,Panadería y Rotisería Butula,FALTANTE,,
1100,Panadería San Cayetano,FALTANTE,,
1101,Entre Churros Panaderías,FALTANTE,,
1102,Panadería Comedor Mena,FALTANTE,,
1103,Panadería Luis Alberto Gossi,FALTANTE,,
1104,Panadería Buen Trigo,FALTANTE,,
1105,Panificadora Ni-Ka-Va,FALTANTE,,
1106,Dulce Ilusión,FALTANTE,,
1107,Gula Burgers,FALTANTE,,
1108,Mojito Pizza Bar,FALTANTE,,
1109,Nueva Rotisería El Bufé,FALTANTE,,
1110,Zevra Bar,FALTANTE,,
1111,La Peatonal,FALTANTE,,
1112,Cerveza Artesanal Ámbar,FALTANTE,,
1113,El Buffet,FALTANTE,,
1114,Rotisería La Tía Cocina,FALTANTE,,
1115,Rotisería La Familia,FALTANTE,,
1116,Rotisería El Bufé,FALTANTE,,
1117,Rotisería Fendi,FALTANTE,,
1118,María Eugenia Godoy Repostería Artesanal,FALTANTE,,
1119,Viandas Gourmet M.S,FALTANTE,,
1120,Grow Brewery,FALTANTE,,
1121,Ninka Cerveza Artesanal,FALTANTE,,
1122,Listo El Pollo Cdelu,FALTANTE,,
1123,Jolie Sofi Comestibles,FALTANTE,,
