Fila,Nombre,Tipo de coincidencia,Valor comparado
73,Abogado Nahuel Nuñez,NOMBRE_IDENTICO,abogado nahuel nuñez
474,Abogado Nahuel Nuñez,NOMBRE_IDENTICO,abogado nahuel nuñez
269,Atelier London,NOMBRE_IDENTICO,atelier london
983,Atelier London,NOMBRE_IDENTICO,atelier london
273,Bajo Llave 929,NOMBRE_IDENTICO,bajo llave 929
1037,Bajo Llave 929,NOMBRE_IDENTICO,bajo llave 929
274,Barro,NOMBRE_IDENTICO,barro
1024,Barro,NOMBRE_IDENTICO,barro
267,Big Lola,NOMBRE_IDENTICO,big lola
974,Big Lola,NOMBRE_IDENTICO,big lola
270,Café Saravia,NOMBRE_IDENTICO,café saravia
981,Café Saravia,NOMBRE_IDENTICO,café saravia
268,Casa Coco café restó,NOMBRE_IDENTICO,casa coco café restó
982,Casa Coco café restó,NOMBRE_IDENTICO,casa coco café restó
576,Cerrajería Boxer,NOMBRE_IDENTICO,cerrajería boxer
1273,Cerrajería Boxer,NOMBRE_IDENTICO,cerrajería boxer
575,Cerrajería Cerrojo de Guillermo Waterloo,NOMBRE_IDENTICO,cerrajería cerrojo de guillermo waterloo
1272,Cerrajería Cerrojo de Guillermo Waterloo,NOMBRE_IDENTICO,cerrajería cerrojo de guillermo waterloo
577,Cerrajería San Pedro,NOMBRE_IDENTICO,cerrajería san pedro
1274,Cerrajería San Pedro,NOMBRE_IDENTICO,cerrajería san pedro
41,DEFAZY PROPIEDADES,NOMBRE_IDENTICO,defazy propiedades
681,Defazy Propiedades,NOMBRE_IDENTICO,defazy propiedades
63,Electro Aguirre SRL,NOMBRE_IDENTICO,electro aguirre srl
507,Electro Aguirre SRL,NOMBRE_IDENTICO,electro aguirre srl
8,Emporio Ferretero,NOMBRE_IDENTICO,emporio ferretero
317,Emporio Ferretero,NOMBRE_IDENTICO,emporio ferretero
86,Escribania Lacava,NOMBRE_IDENTICO,escribania lacava
485,Escribania Lacava,NOMBRE_IDENTICO,escribania lacava
89,Escribania Negri,NOMBRE_IDENTICO,escribania negri
486,Escribania Negri,NOMBRE_IDENTICO,escribania negri
83,Escribania Vaccalluzzo,NOMBRE_IDENTICO,escribania vaccalluzzo
484,Escribania Vaccalluzzo,NOMBRE_IDENTICO,escribania vaccalluzzo
85,Escribania Vallarino,NOMBRE_IDENTICO,escribania vallarino
482,Escribania Vallarino,NOMBRE_IDENTICO,escribania vallarino
84,Escribania Vivas,NOMBRE_IDENTICO,escribania vivas
483,Escribania Vivas,NOMBRE_IDENTICO,escribania vivas
75,Estudio Jurídico Rousseaux - Abogados,NOMBRE_IDENTICO,estudio jurídico rousseaux - abogados
478,Estudio Jurídico Rousseaux - Abogados,NOMBRE_IDENTICO,estudio jurídico rousseaux - abogados
5,FerreLuz,NOMBRE_IDENTICO,ferreluz
318,FerreLuz,NOMBRE_IDENTICO,ferreluz
4,Ferretería LOS ROLHA,NOMBRE_IDENTICO,ferretería los rolha
319,Ferretería LOS ROLHA,NOMBRE_IDENTICO,ferretería los rolha
231,Grido helado,NOMBRE_IDENTICO,grido helado
232,Grido helado,NOMBRE_IDENTICO,grido helado
78,Haddad & Asociados,NOMBRE_IDENTICO,haddad & asociados
475,Haddad & Asociados,NOMBRE_IDENTICO,haddad & asociados
930,Herrería Martín,NOMBRE_IDENTICO,herrería martín
1275,Herrería Martín,NOMBRE_IDENTICO,herrería martín
857,Herrería y Metalúrgica Beck,NOMBRE_IDENTICO,herrería y metalúrgica beck
1279,Herrería y Metalúrgica Beck,NOMBRE_IDENTICO,herrería y metalúrgica beck
36,Inmobiliaria Elsa Guionet,NOMBRE_IDENTICO,inmobiliaria elsa guionet
678,Inmobiliaria Elsa Guionet,NOMBRE_IDENTICO,inmobiliaria elsa guionet
35,Inmobiliaria Galotto,NOMBRE_IDENTICO,inmobiliaria galotto
677,Inmobiliaria Galotto,NOMBRE_IDENTICO,inmobiliaria galotto
271,La Carmela,NOMBRE_IDENTICO,la carmela
1013,La Carmela,NOMBRE_IDENTICO,la carmela
283,La Casa del Chef,NOMBRE_IDENTICO,la casa del chef
1036,La Casa del Chef,NOMBRE_IDENTICO,la casa del chef
571,La Sampedrina S.A.,NOMBRE_IDENTICO,la sampedrina s.a.
1340,La Sampedrina S.A.,NOMBRE_IDENTICO,la sampedrina s.a.
54,LAZARTE SERVICIO MECANICO,NOMBRE_IDENTICO,lazarte servicio mecanico
451,LAZARTE SERVICIO MECANICO,NOMBRE_IDENTICO,lazarte servicio mecanico
14,Libreria Proa,NOMBRE_IDENTICO,libreria proa
426,Libreria Proa,NOMBRE_IDENTICO,libreria proa
11,Librería Helvetica,NOMBRE_IDENTICO,librería helvetica
427,Librería Helvetica,NOMBRE_IDENTICO,librería helvetica
13,Librería Mafalda,NOMBRE_IDENTICO,librería mafalda
428,Librería Mafalda,NOMBRE_IDENTICO,librería mafalda
6,Los Dos Hermanos Ferreteria,NOMBRE_IDENTICO,los dos hermanos ferreteria
498,Los Dos Hermanos Ferreteria,NOMBRE_IDENTICO,los dos hermanos ferreteria
45,Margus Service Mechanic,NOMBRE_IDENTICO,margus service mechanic
741,Margus Service Mechanic,NOMBRE_IDENTICO,margus service mechanic
56,Mayorista del Puerto,NOMBRE_IDENTICO,mayorista del puerto
312,Mayorista del Puerto,NOMBRE_IDENTICO,mayorista del puerto
10,Micael 24 horas,NOMBRE_IDENTICO,micael 24 horas
641,Micael 24 Horas,NOMBRE_IDENTICO,micael 24 horas
37,MONTI NEGOCIOS INMOBILIARIOS,NOMBRE_IDENTICO,monti negocios inmobiliarios
680,Monti Negocios Inmobiliarios,NOMBRE_IDENTICO,monti negocios inmobiliarios
44,Nexo Negocios Inmobiliarios,NOMBRE_IDENTICO,nexo negocios inmobiliarios
806,Nexo Negocios Inmobiliarios,NOMBRE_IDENTICO,nexo negocios inmobiliarios
266,OTRA HISTORIA BAR,NOMBRE_IDENTICO,otra historia bar
972,OTRA HISTORIA BAR,NOMBRE_IDENTICO,otra historia bar
276,Parra Pizzeria,NOMBRE_IDENTICO,parra pizzeria
1021,Parra Pizzeria,NOMBRE_IDENTICO,parra pizzeria
272,Parrilla El Monumento,NOMBRE_IDENTICO,parrilla el monumento
1011,Parrilla El Monumento,NOMBRE_IDENTICO,parrilla el monumento
278,Pizzería Me Gusta: a la piedra,NOMBRE_IDENTICO,pizzería me gusta: a la piedra
1019,Pizzería Me Gusta: a la piedra,NOMBRE_IDENTICO,pizzería me gusta: a la piedra
282,Ricura Camp,NOMBRE_IDENTICO,ricura camp
1012,Ricura Camp,NOMBRE_IDENTICO,ricura camp
46,Svetko Mecánica,NOMBRE_IDENTICO,svetko mecánica
742,Svetko Mecánica,NOMBRE_IDENTICO,svetko mecánica
48,Taller Mecánico CHICHE,NOMBRE_IDENTICO,taller mecánico chiche
450,Taller Mecánico CHICHE,NOMBRE_IDENTICO,taller mecánico chiche
47,Taller mecánico Nico,NOMBRE_IDENTICO,taller mecánico nico
449,Taller mecánico Nico,NOMBRE_IDENTICO,taller mecánico nico
355,Termas Concepción de Entre Ríos,NOMBRE_IDENTICO,termas concepción de entre ríos
1049,Termas Concepción de Entre Ríos,NOMBRE_IDENTICO,termas concepción de entre ríos
0,Vidriería y Ferretería Uruguay,NOMBRE_IDENTICO,vidriería y ferretería uruguay
324,Vidriería y Ferretería Uruguay,NOMBRE_IDENTICO,vidriería y ferretería uruguay
279,Víctor S. Cocina,NOMBRE_IDENTICO,víctor s. cocina
1023,Víctor S. Cocina,NOMBRE_IDENTICO,víctor s. cocina
144,Western Union,NOMBRE_IDENTICO,western union
145,Western Union,NOMBRE_IDENTICO,western union
146,Western Union,NOMBRE_IDENTICO,western union
147,Western Union,NOMBRE_IDENTICO,western union
49,Yamil Servicio Mecánico,NOMBRE_IDENTICO,yamil servicio mecánico
448,Yamil Servicio Mecánico,NOMBRE_IDENTICO,yamil servicio mecánico
2,Corralón y Ferreteria Burmer,PLACE_ID_REPETIDO,ChIJ-7-3RADbr5UR2YELUOdr_U0
809,Corralón y Ferretería Burmer,PLACE_ID_REPETIDO,ChIJ-7-3RADbr5UR2YELUOdr_U0
84,Escribania Vivas,PLACE_ID_REPETIDO,ChIJ-7-3RADbr5UR5nNHMAprgbw
483,Escribania Vivas,PLACE_ID_REPETIDO,ChIJ-7-3RADbr5UR5nNHMAprgbw
89,Escribania Negri,PLACE_ID_REPETIDO,ChIJ-7-3RADbr5URDKAyHykJNj8
486,Escribania Negri,PLACE_ID_REPETIDO,ChIJ-7-3RADbr5URDKAyHykJNj8
86,Escribania Lacava,PLACE_ID_REPETIDO,ChIJ-7-3RADbr5URE2UH6X-21D0
485,Escribania Lacava,PLACE_ID_REPETIDO,ChIJ-7-3RADbr5URE2UH6X-21D0
574,Bonnet Cerrajería,PLACE_ID_REPETIDO,ChIJ-7-3RADbr5URHk0aoek9uZI
1271,Bonnet Cerrajeria,PLACE_ID_REPETIDO,ChIJ-7-3RADbr5URHk0aoek9uZI
786,Todo para el Tapicero - Todo Blanco Colchonería,PLACE_ID_REPETIDO,ChIJ-7-3RADbr5URIHa4F1ZNbw4
1304,Todo Para el Tapicero / Todo Blanco,PLACE_ID_REPETIDO,ChIJ-7-3RADbr5URIHa4F1ZNbw4
90,Colegio de Escribanos de Entre Rios,PLACE_ID_REPETIDO,ChIJ-7-3RADbr5URWz1UF1hMF2A
