Nombre,Estado
Carrito Super Lomo,No encontrado
OTRA HISTORIA BAR,No encontrado
Big Lola,Encontrado
Casa Coco café restó,No encontrado
Atelier London,No encontrado
Café Saravia,No encontrado
La Carmela,No encontrado
Parrilla El Monumento,No encontrado
Bajo Llave 929,No encontrado
Barro,No encontrado
Pizzeria Me Gusta,No encontrado
Parra Pizzeria,No encontrado
"Pizza Pronto VIP ""Al estilo italiano""",No encontrado
Pizzería Me Gusta: a la piedra,No encontrado
Víctor S. Cocina,No encontrado
"""La esquina""",No encontrado
Ricura Camp,No encontrado
La Casa del Chef,No encontrado
Farmacia Entre Ríos,Encontrado
Farmacia Alberdi,No encontrado
Farmacia Avenida,No encontrado
Farmacia San Martín,No encontrado
Farmacia Modelo,No encontrado
Farmacia Los Jazmines,No encontrado
Farmacia Yrigoyen,No encontrado
Farmacia Gargano,No encontrado
Clínica Uruguay SRL,No encontrado
Cooperativa Médica Ltda,No encontrado
Consultorios Vita,No encontrado
Cedyt SRL,No encontrado
Clínica De Ojos Concepción del Uruguay,No encontrado
Alcec - Concepción del Uruguay,No encontrado
Centro De Salud Dr. Giacomotti,No encontrado
Laboratorio Bioquímico IZAGO,No encontrado
Centro Bioquimico A y F Ansaldi - Carballo - Cabrera,No encontrado
Laboratorio Uruguay,No encontrado
Laboratorio Gamma Nuclear,No encontrado
Clínica Bracco,No encontrado
Supermercado Maycon,No encontrado
Mayorista del Puerto,No encontrado
Maycon Autoservicio Mayorista,No encontrado
Supermercado MARTIN,No encontrado
"Supermercado Unidos ""La Vaca Loca""",No encontrado
Emporio Ferretero,No encontrado
La Casa del Bulon,No encontrado
Ferrolatina,No encontrado
Ferreteria Bocha,No encontrado
Ferreteria El Peregrino,No encontrado
Power Gym (Blvd. Yrigoyen),No encontrado
Chipper Fitness Club,No encontrado
La Roca,No encontrado
Titanium Real Evolution,No encontrado
Dieciocho Salón de Profesionales,No encontrado
Mr Anderson Barber Team (Posadas),No encontrado
Melina Firpo Estilista y Colorista,No encontrado
Geiser Barbería,No encontrado
Mr Anderson Barber Team (Balbín),No encontrado
Glow Up Estética,No encontrado
Belleza y Estética Vitta,No encontrado
Amancay Estética y Nutrición,No encontrado
Roma Centro de estética,No encontrado
Termas Concepción de Entre Ríos,No encontrado
Complejo Aguas Claras,No encontrado
Desembocadura Arroyo La China,No encontrado
Friendsn Productos Caseros,No encontrado
Trapos,No encontrado
Semillerías y Veterinaria Agro Sur,No encontrado
Entrenamiento Funcional Strong Training,No encontrado
Guay - Ari,No encontrado
Ardoy & Haddad Abogados,No encontrado
Guillermo Andrés Heis - Contador,No encontrado
Inmobiliaria Jusid,No encontrado
Centro Médico Ciota,No encontrado
Dietética Nutrisabor,No encontrado
Cantina Paso Corralito,No encontrado
Panadería Café,No encontrado
Panadería Maxim S,No encontrado
Eben Ezer Panadería,No encontrado
Panadería y Rotisería Butula,No encontrado
Panadería San Cayetano,Encontrado
Entre Churros Panaderías,No encontrado
Panadería Comedor Mena,No encontrado
Panadería Luis Alberto Gossi,No encontrado
Panadería Buen Trigo,No encontrado
Panificadora Ni-Ka-Va,No encontrado
Dulce Ilusión,No encontrado
Gula Burgers,No encontrado
Mojito Pizza Bar,No encontrado
Nueva Rotisería El Bufé,No encontrado
Zevra Bar,No encontrado
La Peatonal,No encontrado
Cerveza Artesanal Ámbar,No encontrado
El Buffet,No encontrado
Rotisería La Tía Cocina,No encontrado
Rotisería La Familia,No encontrado
Rotisería El Bufé,No encontrado
Rotisería Fendi,No encontrado
María Eugenia Godoy Repostería Artesanal,No encontrado
Viandas Gourmet M.S,No encontrado
Grow Brewery,No encontrado
Ninka Cerveza Artesanal,No encontrado
Listo El Pollo Cdelu,No encontrado
Jolie Sofi Comestibles,No encontrado
Parador Itapé,No encontrado
La Vid es Bella,No encontrado
Cremolatti (sucursal Reibel 45),No encontrado
Citra Bar,No encontrado
Neo. Soluciones en Cobranzas,No encontrado
Estudio Jurídico Mariana Lima y Asociados,No encontrado
Elvira E. Barbieri,No encontrado
Martínez Jorge Tito,No encontrado
Estudio Contable y Gestoría del Automotor Cazzulino,No encontrado
Thea Juan A. y Pinilla Luis M.,No encontrado
Buffa María Magdalena,No encontrado
Estudio Contable Tourfini C. Mauricio,No encontrado
Gestoría del Automotor de Noemi Poetto,No encontrado
Walter Barcos - Gestión Inmobiliaria,No encontrado
ArquiDiseño,No encontrado
"Cardoso, Patricia Elizabeth",No encontrado
Morsentti Pamela V.,No encontrado
Berguella Carolina - Coria Fernanda,No encontrado
Dodera Claudia de Lourdes,No encontrado
Gaggino Gonzalo,No encontrado
Marco Gastón,No encontrado
Ríos Carlos Gabriel,No encontrado
Domínguez Diego Hernán,No encontrado
Díaz Clarisa María de los Ángeles,No encontrado
Silva Walter Fernando,No encontrado
Azario Marcela Sonia,No encontrado
Février María Sol Eugenia,No encontrado
Sánchez Cebola Fernando Antonio,No encontrado
Zalazar Flavio Raúl,No encontrado
Sánchez Lucero Alberto Esteban,No encontrado
Neuman Carlos Andrés,No encontrado
Carelli Nicolás Marcelo,No encontrado
González María Victoria,No encontrado
Marco Carlos Alberto,No encontrado
Nadia Vanina Telis,No encontrado
Leo Computación,No encontrado
RedSis - Soluciones Informáticas,No encontrado
Video Juegos Star,No encontrado
Proa Informática,No encontrado
Guenoa Soluciones Informáticas,No encontrado
Di-Ser Informática,No encontrado
ABH Informática,No encontrado
Cluster Informática,No encontrado
GC Computers,No encontrado
AYG Computación,No encontrado
Trusted Informatics,No encontrado
Full Servis,No encontrado
Tec Support,No encontrado
Mjm Computación,No encontrado
Pc Tuning,No encontrado
Running PC,No encontrado
Electrans Reparaciones,No encontrado
LTV Service,No encontrado
Softec Servicio Técnico,No encontrado
PC Service,No encontrado
Reco y Toto Publicidad,No encontrado
Neocolor S.R.L.,No encontrado
Plotter Factory,No encontrado
Plot Graphics,No encontrado
Impáctate Soluciones Gráficas,No encontrado
Bombieri MSI - Integración de Sistemas,No encontrado
Gasista Matriculado Gerardo Herlein,No encontrado
"Chana - Obras, Servicios y Emprendimientos",No encontrado
Mole Construcciones,No encontrado
Saneamiento Ambiental Chaubicho - Control de Plagas,No encontrado
Apolo: Crossfit y Funcional,No encontrado
Aquiles: Crossfit,No encontrado
MAP Entrenamientos,No encontrado
Stronger Entrenamiento Funcional,No encontrado
ATENEA Training,No encontrado
Emilia Montañana (EM Gym),No encontrado
Full Training Gym,No encontrado
Indómita Gimnasio Femenino,No encontrado
Novafit,No encontrado
Vital Fitness,No encontrado
Plenamente Pilates Reformer,No encontrado
Pausa Activa,No encontrado
Corpo Pilates,No encontrado
Lineal Estudio de Pilates,No encontrado
Espacio Aruna,No encontrado
Centro Dharma SatNam,No encontrado
Sol de Acuario RedGFU,No encontrado
Sinergia Salud,No encontrado
Gabriela Sampó,No encontrado
Kwoonbox,No encontrado
La Tribu Team Dojo Serpiente,No encontrado
Pa-Kua Recinto Concepción del Uruguay,No encontrado
Shikinaen Dojo,No encontrado
"Academia de TaeKwon-Do ITF ""Fabio Villalba""",No encontrado
Escuela de Taekwondo ITF Cristian Poggio,No encontrado
ITF - Taekwondo y Boxeo (Prof. David Segura),No encontrado
Almeida Jiu Jitsu - Concepción del Uruguay,No encontrado
Academia de Boxeo Amilcar Brusa,No encontrado
Olimpo Pádel,No encontrado
Oeste Pádel,No encontrado
Popi Pádel,No encontrado
Ibiza Pádel,No encontrado
Locos X El Pádel,No encontrado
Puerto Pádel,No encontrado
Miami Pádel,No encontrado
Open Tenis Club,No encontrado
Tenis Costanera,No encontrado
Soleil Tenis Club,No encontrado
Carreón Tenis,No encontrado
Club Tomás de Rocamora,No encontrado
Club República de Italia,No encontrado
Olimpia,No encontrado
Club Atlético Engranaje,No encontrado
Apolo Fútbol 5,No encontrado
Club Parque Sur Baloncesto,No encontrado
University Club of Concepción del Uruguay,No encontrado
Club Profesional J.J. de Urquiza,No encontrado
"Predio ""Arenas"" - CUCU Rugby",No encontrado
Sede de Club Gimnasia y Esgrima,No encontrado
Estadio Manuel y Ramón Núñez - Club Gimnasia y Esgrima,No encontrado
Club María Auxiliadora,No encontrado
Estadio Santísimo Bernabéu,No encontrado
La Toska Polideportivo,No encontrado
Colonia SCUBI,No encontrado
