Fila,Nombre,Tipo,Coordenadas
104,Sala Evocativa de la Ribera,UBICACION_COMPARTIDA,"-32.50023, -58.22458"
975,House Rooftop,UBICACION_COMPARTIDA,"-32.50018, -58.22456"
1035,Señor Mozzarella,UBICACION_COMPARTIDA,"-32.49971, -58.28062"
1140,GIRL POWER Club de belleza,UBICACION_COMPARTIDA,"-32.4994382, -58.2803052"
1526,Novafit,UBICACION_COMPARTIDA,"-32.493314, -58.249331"
1580,Urban Dance,UBICACION_COMPARTIDA,"-32.493342, -58.249309"
625,La Quinta Sabores Entrerrianos,UBICACION_COMPARTIDA,"-32.49269, -58.22985"
1059,La Quinta Gluten Free,UBICACION_COMPARTIDA,"-32.4925, -58.22991"
20,LK Gestoría Integral,UBICACION_COMPARTIDA,"-32.4914827, -58.2554083"
1163,Peluqueria Agos unisex,UBICACION_COMPARTIDA,"-32.4914704, -58.2555218"
351,Glow Up Estética,UBICACION_COMPARTIDA,"-32.4916, -58.25348"
839,Grabado en Placas,UBICACION_COMPARTIDA,"-32.49148, -58.25375"
239,Pizzeria Punto Pizza,UBICACION_COMPARTIDA,"-32.49162, -58.24937"
1462,Consultorio Médico (Bv. Aráoz),UBICACION_COMPARTIDA,"-32.4914883, -58.2493308"
596,Carla Bernay Nutricionista,UBICACION_COMPARTIDA,"-32.49173, -58.23251"
674,Kiosco Panther,UBICACION_COMPARTIDA,"-32.49173, -58.23251"
492,Timshel Arquitectura,UBICACION_COMPARTIDA,"-32.49112, -58.231"
560,Sporting Concepción,UBICACION_COMPARTIDA,"-32.49112, -58.231"
642,Autoservicio Pitu,UBICACION_COMPARTIDA,"-32.49112, -58.231"
561,Club Sarmiento,UBICACION_COMPARTIDA,"-32.49057, -58.25225"
586,Lavadero de Autos FC,UBICACION_COMPARTIDA,"-32.49057, -58.25225"
1419,Servicio de Encomiendas Concepción del Uruguay,UBICACION_COMPARTIDA,"-32.4905698, -58.2417703"
1421,Correo Servijur,UBICACION_COMPARTIDA,"-32.4903024, -58.241839"
329,ENTRENAMIENTO LV,UBICACION_COMPARTIDA,"-32.49065, -58.23441"
389,Instituto De Psicología Y Psicoanálisis Del Litoral,UBICACION_COMPARTIDA,"-32.49045, -58.23445"
922,Equipar Alarmas,UBICACION_COMPARTIDA,"-32.49062, -58.23214"
1188,"Peluqueria ""Peinarte""",UBICACION_COMPARTIDA,"-32.4904478, -58.2321374"
549,Bazar y Regalería Tote,UBICACION_COMPARTIDA,"-32.48991, -58.29176"
576,Cerrajería Boxer,UBICACION_COMPARTIDA,"-32.48991, -58.29176"
600,Fonoaudióloga Lic. Maria Vanina Cabandie,UBICACION_COMPARTIDA,"-32.48991, -58.29176"
643,Punto Fresco,UBICACION_COMPARTIDA,"-32.48991, -58.29176"
243,Che Doña,UBICACION_COMPARTIDA,"-32.48978, -58.2497"
810,Corralón Perotti - Martín,UBICACION_COMPARTIDA,"-32.49016, -58.24961"
1034,Granja Rico Pollo,UBICACION_COMPARTIDA,"-32.49011, -58.24179"
1538,La Tribu Team Dojo Serpiente,UBICACION_COMPARTIDA,"-32.490086, -58.242145"
479,Estudio Jurídico Bernal,UBICACION_COMPARTIDA,"-32.49002, -58.22854"
671,Usaditos,UBICACION_COMPARTIDA,"-32.49002, -58.22854"
